Fish Code,Species,Season,Date Resolution,Year,Month,Day,Region,PFMA,Site Resolution,Longitude,Latitude,Final Length (cm),Project,Data flag,Amphipod,Barracudina,Copepod,Crangonidae,Crustacean larvae,Deep-sea smelt,Empty,Eulachon,Euphausiid,Gadiformes,Isopod,Lingcod,Midshipman,Myctophid,Mysid,Neotrypaea sp.,Northern anchovy,Octopus,Other,Pacific herring,Pacific jack mackerel,Pacific sand lance,Pacific saury,Pandalid,Pinnotherid,Planktonic shrimp,Pleuronectiformes,Poacher,Polychaete,Prowfish,Rockfish,Sablefish,Salmon,Sculpin,Squid,Surf smelt,Surfperch,Threespine stickleback,Tubesnout,Unidentified material,TotalWeight,TotalProp
17068,Chinook,Summer,exact date,2017,4,15,Salish Sea,19,creel site,-123.25436657,48.42895457,55,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.982299999999995,1
17070,Chinook,Summer,exact date,2017,4,2,Salish Sea,19,creel site,-123.26579197,48.60196503,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6603392338778531,0,0.33966076612214696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5414,1
17071,Chinook,Summer,exact date,2017,4,15,Salish Sea,19,creel site,-123.36191248,48.59274407,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7074,1
17072,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.34392801,48.60883084,62,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6632,1
17073,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.34392801,48.60883084,86,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7703394086950599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22966059130494001,11.7469,0.9999999999999999
17074,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,PFMA or PFMA subarea,-123.26579197,48.60196503,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17075,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.38107694,48.59885812,78,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48618957940991836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5138104205900816,2.8674,1
17076,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.28508542,48.63529652,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17077,Chinook,Summer,exact date,2017,5,27,Salish Sea,19,creel site,-123.28135631,48.41693622,61,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.397600000000004,1
17078,Chinook,Summer,exact date,2017,5,6,Salish Sea,19,creel site,-123.28508542,48.63529652,,Angler,"Keep for FO, Proportion, and Fullness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7087,1
